Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
156296274419595,HarperCollins,HARPERCOLLINS PUBLISHERS L.L.C.,3755,2
375984579132651,PSEG,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,3755,9
104574721149424,Eliza Orlins,Eliza Orlins For New York,3754,28
414464245574059,Sara Hart Weir,SARA HART WEIR FOR CONGRESS,3753,29
141033266605829,Mauro Garza For Congress,COMMITTEE TO ELECT MAURO GARZA FOR US CONGRESS,3752,13
113221460405028,America One Policies,America One Policies,3752,4
109919770417450,Southern Priorities,DCCC,3750,3
19437978960,Chris Murphy,FRIENDS OF CHRIS MURPHY,3750,46
1095906937121564,"The City of College Park, MD",City of College Park,3750,2
39897949829,Texas Watch,TEXAS WATCH,3746,68
58550347343,Kris Kobach,KOBACH FOR SENATE,3745,5
103761441049549,Alex Yudelson,Friends of Alex Yudelson,3743,38
101442908124605,Liberty Surveys,Liberty Surveys,3743,6
110398490470951,Stephen Musselman  Progressive for Howard County Circuit Court Judge,Stephen Joseph Musselman,3740,37
140978009255170,Leon County,Leon County Government,3740,24
140985439405868,PosiGen,PosiGen,3739,33
289679024427356,Tennessee Stormwater Association,Tennessee Stormwater Association,3737,16
106105704125425,Rogers for Texas,Glenn Rogers Campaign,3737,9
317284821682168,Messianic Jewish Alliance of America (MJAA),Messianic Jewish Alliance of America,3733,18
223917954303448,Friends of Coal-Kentucky,Friends of Coal-Kentucky,3728,4
2705070082842335,Spirits United,Distilled Spirits Council of the United States,3727,198
80668957414,GoSili,SiliKids Inc.,3727,40
108906707265489,USA Pooch,"PRESIDENTIAL POOCH, INC",3725,9
197760674021143,Indivisible Guide,Indivisible Project,3721,37
194038518184737,Vote4Haynes,Committee To Elect Benjamin Haynes Sheriff,3719,48
123397377677195,"School of International Service, AU","School of International Service, American University",3718,18
2295062210811244,Coalition for American Veterans,COALITION FOR AMERICAN VETERANS POLITICAL ACTION COMMITTEE,3718,12
104933662932387,CreativeFuture,CreativeFuture,3714,16
148205145252473,Backcountry Hunters & Anglers,Backcountry Hunters & Anglers,3710,23
113714890038421,Jeff Fleming for Illinois State Senate 55th District,Jeffrey E Fleming,3709,18
111204039054580,Konni Burton,The Texan for Konni Burton,3709,92
108953413953229,Adam for Idaho,Adam for Idaho,3707,50
198875903295,Trek Bicycle,TREK BICYCLE CORPORATION,3704,114
140877979844,American Gas Association,AMERICAN GAS ASSOCIATION,3701,25
100577113613446,Rock Your Bathroom,SK LANG Products,3701,9
20876805343,March of Dimes,Anthony Freitas,3700,14
116805625019400,Union Gospel Mission Motors,Union Gospel Mission,3699,56
353973075947,Camden County Government,Camden County Government,3698,4
104243792943104,Saybrook University,TCS Education System,3697,31
219886468037083,West Texas Food Bank,WEST TEXAS FOOD BANK,3695,61
63472404068,Tennessee Immigrant and Refugee Rights Coalition [TIRRC],Tennessee Immigrant & Refugee Rights Coalition,3694,19
103420014397186,Bill Gonzalez for Family Court Dept. U,Committee to Elect Former Judge Bill Gonzalez,3694,21
113335773562471,President Trump For Re-Election,Great American Era,3693,7
111270996912143,"Mickey Bohn for District Court Judge, Dept. 24",Mickey Bohn for Judge,3693,12
1862511410671222,Dana Ferguson for US Congress,FRIENDS OF DANA FERGUSON,3692,83
18983389920,Open Society Foundations,Open Society Foundations,3690,541
106932400782664,Met Lane for State Court Judge,Met Lane for Judge,3690,24
392403244214360,"Grace Farms, CT","Grace Farms Foundation, Inc.",3689,9
110573083801477,5G Action Now,5G Action Now,3688,8
1837356789847797,Fulcrum News,David George Seaman,3685,26
113042546706999,Wendell Champion,CHAMPION FOR CONGRESS,3685,12
10560089737,The Doe Fund,The Doe Fund,3680,26
100640818192125,Swamp Drainers PAC,Swamp Drainers PAC,3677,11
230991440288731,American College of Obstetricians and Gynecologists - ACOG,"OBSTETRICIANS AND GYNECOLOGISTS, AMERICAN COLLEGE OF",3677,12
246877785437077,ThinOptics,These ads ran without a disclaimer,3676,1
10150124349775072,"Riddle & Brantley, LLP","RIDDLE & BRANTLEY, LLP",3673,13
682990071843813,Center for the Study of Liberty,Center for the Study of Liberty,3673,83
516459655505626,Congressman Bryan Steil,Office of Congressman Bryan Steil,3669,23
337416009703682,Heather Carter,VOTE HEATHER CARTER SENATE,3669,14
1107973016071967,Wesley Hunt,Hunt for Congress,3665,18
190343811069679,Peter Franchot,Friends of Peter Franchot,3662,66
109167217167618,"Stephanie Charter for Family Court Judge, Dept. Y",Committee to Elect Stephanie Charter for Family Court Judge,3662,15
8111949161,ProgressNow Colorado,ProgressNow Colorado,3661,71
163684173651518,SEIU Local 2015,SEIU LOCAL 2015,3657,28
6316744206,Jon Tester,MONTANANS FOR TESTER,3656,30
2245270729070937,Citizenship and Science Academy of Rochester Charter School,Science Academies of New York,3650,2
109789277366765,Moms for a Safe Future,Windward Fund,3647,46
967765179903116,Joshua Higginbotham,Higginbotham for West Virginia,3645,64
102152114781588,US Future Fund,the US Future Fund and not authorized by any candidate or candidate's committee,3640,20
114114463481549,Superzeroit,superzero LLC,3639,46
634635016977585,No Alcohol Taxes,Alaskans Against Unfair Alcohol Taxes,3638,10
421826528171124,Salt Lake County Mayor Jenny Wilson,Salt Lake County,3636,10
538393719622974,Place Matters Oregon,Place Matters Oregon,3630,26
466164103423147,Thorn,Thorn with Facebook Ad Credits,3624,42
637804166293273,The Urban Lawn,"Parallel Arc Publishing House, Inc.",3623,25
308212259827797,Rep. Abby Finkenauer,Rep. Abby Finkenauer,3622,3
2777578242259790,Great Again Gear,Great Again Gear,3621,16
159164367581855,Senator Chip Campsen,Campsen for Senate,3620,14
975210282681947,Mrs. America,These ads ran without a disclaimer,3616,7
810891328999825,Rooted in Rights,Rooted in Rights,3613,11
104587877749229,Barbara Schifalacqua,COMMITTEE TO ELECT BARBARA SCHIFALACQUA,3613,12
104320074406295,David Cook for State Representative,David Cook Campaign,3612,11
109032560695013,Jason Buelterman for Chairman,"Committee To Elect Buelterman, Inc.",3610,14
102987134585473,VigorBe,VigorBe,3607,510
14226615647,People For the American Way,People For the American Way,3607,11
1418412525123727,State Senator Anna Wishart,Anna Wishart for Legislature,3607,11
76050196975,Light of Life Rescue Mission,LIGHT OF LIFE MINISTRIES INC,3606,27
102939377918985,Larry Pack for House of Delegates,Larry Pack for West Virginia,3605,15
108655607412594,Ken Lawler for Georgia House District 49,"Ken Lawler for Georgia, LLC",3602,16
1795367040728968,Congressman Brian Fitzpatrick,the Office of Congressman Brian Fitzpatrick,3601,4
194716997218746,Americans for Prosperity - Oklahoma,AMERICANS FOR PROSPERITY,3601,28
379373892662119,Healthcare Advisor Group,Healthcare Advisors Group,3599,5
109396433955870,Milou Mackenzie for Representative,Friends of Milou Mackenzie,3599,32
152569121550,U.S. Congressman Henry Cuellar (TX-28),Office of Congressman Henry Cuellar (TX-28),3589,8
363502680400419,Huntington Beach Police Officers' Association,Huntington Beach Police Officers' Association Independent Expenditure Committee. This advertisement was not authorized by a candidate or a committee controlled by a candidate.,3589,7
720943967965149,AFSCME Retirees,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,3585,51
2168820933200990,Adult Advocacy Centers,Adult Advocacy Centers,3577,47
105331137668943,Dewayne Duncan for the People,Dewayne Duncan for the People,3575,6
104602514593537,A New Voice for Justice,A New Voice for Justice,3573,7
155690047804722,Jeanne Morales Attorney,Jeanne Marie Morales,3567,114
261319066080,Americans for Prosperity - Ohio,AMERICANS FOR PROSPERITY,3567,6
514193775271504,Iowa Gun Owners,Iowa Gun Owners,3566,7
367087874105293,Growth and Opportunity Fund,"Growth and Opportunity Fund, Inc.",3566,12
402467807031826,Joe Dooling for Congress,Alexander Joseph Dooling,3565,47
107552440773778,Daniel Haggar,Friends of Daniel Haggar,3563,17
804248369935668,Change CA,Rescue California Educational Foundation,3563,8
92021268117,Working America,Working America,3561,22
400505623360875,SEIU Virginia 512,SEIU Virginia 512,3556,86
289185555043843,Conservative Texans for Energy Innovation Foundation,Conservative Texans For Energy Innovation,3555,20
233431773370174,Chris Paddie For Texas,Texans for Chris Paddie,3553,28
541807025833154,Malala Fund,Malala Fund,3541,2
2009466829272479,SavageXFenty,These ads ran without a disclaimer,3538,54
116924065002990,Indiana Democratic Party,INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,3537,17
300103172268,Pacific Battleship Center - Battleship USS Iowa,Jonathan Thompson Williams,3533,17
107248944146204,Carlos Gimenez for Congress,Carlos Gimenez for Congress,3531,11
2202052983148029,Rep. Elissa Slotkin,Office of U.S. Rep. Elissa Slotkin,3530,13
102128778174042,Joe Ardito for Congress,Joseph Charles Ardito,3529,26
103646064618386,The Judge Show - James Judge,James Patrick Judge Jr.,3528,41
755175814541555,Law Office of Fernando Dubove - Immigration Attorney in Dallas,Law Office of Fernando Dubove,3528,22
745910525468062,National Center on Sexual Exploitation,National Center on Sexual Exploitation,3526,9
27311599342,Preemptive Love,These ads ran without a disclaimer,3524,2
703046976535875,Deplorables USA,Deplorables USA,3523,4
110882247130318,Our Children MN,Our Children,3521,15
107259300953793,American Moments,Lolbe Suaste,3519,575
942084192640812,Idaho Secretary of State,Idaho Secretary of State,3518,8
398986710654234,We Are MN,ROB BARRETT FOR SENATE,3517,20
1847970595505510,State Senator Dick Harpootlian,Harpootlian for Senate,3517,12
7609325759,Jim McGovern,RE-ELECT MCGOVERN COMMITTEE,3514,417
306055653429883,Judge-Elect Rebecca Kiefer,Kiefer for Judge,3514,5
103031991317406,Rural Freedom Network,Rural Freedom Network,3514,5
109393687356820,Ryan McCabe for S.C. House,Donald Ryan Mccabe,3513,28
155336104883335,The Capitolist,The Capitolist,3513,21
111358512842511,New York State Firearms Association,New York State Firearms Association,3513,9
107225484068529,Donna Deegan for Congress,Donna Deegan For Congress,3508,73
188863534474601,Americans for Prosperity - Tennessee,AMERICANS FOR PROSPERITY,3505,22
119239224825173,Define American,Define American,3504,10
73423208228,City Councilman Jose Solorio,"A New Day for Santa Ana - Solorio for Mayor 2020, ID# 1418552",3501,33
132392254931,Missouri KidsFirst,Missouri Kids First,3500,2
2354481724812667,Spencer for Milwaukee City Attorney,Spencer for Milwaukee,3500,7
2019265234951837,Food Workers United,Thaiminh Huy Pham,3500,7
139017056201150,Michigan Department of Labor and Economic Opportunity,Michigan Department of Labor and Economic Opportunity,3500,2
2276300692583040,Gina4Judge,Gina4Judge.com,3500,2
63639245961,Sacramento City Teachers Association,Sacramento City Teachers Association,3499,8
86574174383,House Speaker Nancy Pelosi,Office of the Speaker,3499,7
111081706926063,Jason Fields for Milwaukee Comptroller,Jason Fields for Milwaukee,3499,7
2056485407811667,Clean Energy for Maryland,Energy Media,3498,302
125937197447634,ACTA - American Council of Trustees and Alumni,AMERICAN COUNCIL OF TRUSTEES AND ALUMNI,3497,7
1833879943496521,Spread The Vote,Spread the Vote,3494,18
385494895552183,Congressman Ed Case,Office of Congressman Ed Case,3493,7
359153387814647,Antonio Delgado,DELGADO FOR CONGRESS,3493,36
110618000473269,Devin for State Senate,Committee to Elect Devin Barrington-Ward,3492,18
106323360959211,Patriots Republic,Matthew James Stine,3491,683
111027557033978,Tim Kirsch for State Representative - House District 17,Friends of Tim Kirsch,3489,32
326648621321247,SF All In,TIPPING POINT COMMUNITY,3488,23
2327804674136406,We Drive Progress,SEIU 1021,3485,3
108679964059409,Max Burns for State Senate,Max Burns for State Senate,3485,32
2227977517316570,Andy Meehan for Congress PA01,FOAM FRIENDS OF ANDREW MEEHAN,3485,20
1957446251204909,Senator Nikema,Nikema for Senate,3484,60
169275056451715,7 Clans First Council Casino,The Otoe-Missouria Tribe,3484,32
216705888361546,Elbert Lee Guillory,ELBERT GUILLORY'S AMERICA,3481,39
188572961157305,Congressman Daniel Webster,Congressman Daniel Webster,3481,26
103806957816376,Kat Cammack,KAT FOR CONGRESS,3478,25
103247551414878,Preserving Our Communities,Patrick Le Tran,3477,38
292649794717694,The Bulwark,The Bulwark,3476,13
111216596892874,Abogado.com,Thomson Reuters,3472,62
1003562459729504,Transportation Nation Network,Transportation Nation Network,3472,46
1484832081831740,Lucy Vinis,Re-Elect Mayor Lucy Vinis,3471,83
1375372595977513,UWorld Insurance Group,Jose Santana,3465,5
145170355529600,National Pro-Life Alliance,NATIONAL PRO LIFE ALLIANCE,3465,4
1028027527260414,Sharif Street,Friends of Sharif Street,3464,56
100816418149501,Elect Judge Moreschi,Committee to Elect Judge Moreschi,3462,46
294879797332635,Debbie Dingell,DEBBIE DINGELL FOR CONGRESS,3462,15
467503009987109,"Healthy Forests, Healthy Communities","Healthy Forests, Healthy Communities",3461,6
102661834419031,Antonio 'Tony' Munoz for State Senate,Citizens for Antonio Tony Munoz,3458,28
534064333315303,Nova Bucks,Network of Victim Assistance (NOVA),3458,40
248163025343706,Gun Violence Prevention PAC - GPAC Illinois,Gun Violence Prevention PAC,3457,18
231056563609284,Fresno Metropolitan Flood Control District,Fresno Metropolitan Flood Control District,3452,22
100585318107139,"Mark Alan Harrison for Constable, Harris County Precinct 5",The Mark Alan Harrison Campaign,3450,49
52563647525,Kyrsten Sinema,SINEMA FOR ARIZONA,3449,36
109718777340857,Joe Bustos for State House District 112,Joe Bustos for the House,3448,11
107574543934343,Filicetti4Sheriff,Friends of Mike Filicetti,3448,8
218340101665777,Rob Nosse,Friends of Rob Nosse,3448,27
102286039830596,SEIU Local 49,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 49,3443,50
406581453407625,Advance Minnesota Issue Advocacy,Advance Minnesota Issue Advocacy,3440,14
110450000680508,Floridians for Equality,Floridians for Equality and Justice,3440,12
105642277472997,Brian McGee for Henry County Sheriff,Shaheen Armaude Solomon,3437,14
132063973491902,Vermont-NEA,Vermont NEA,3435,32
843017522708289,Kayla Young For WV House,Kayla Young for WV,3432,20
1585291608451100,Ted Budd,TED BUDD FOR CONGRESS,3430,21
28394917492,Second Harvest Food Bank of Central Florida,"SECOND HARVEST FOOD BANK OF CENTRAL FLORIDA, INC.",3429,8
207833736045744,MHAction.org,Kevin R Borden,3424,10
567646740429990,Marco Attisano,Marco for PA,3423,45
6691963292,Jeanne Shaheen,SHAHEEN FOR SENATE,3423,7
48990004850,Republican Party of Wisconsin,Republican Party of Wisconsin,3423,102
107708947506610,Peter Yacobellis,Peter N Yacobellis,3419,48
110096317062742,Marisa Shaaban for State Representative,Friends of Marisa Shaaban,3416,31
423274577699172,Doctors of the World USA,Doctors of the World,3414,132
100349548215230,Connecticut's Health Care Future,"Partnership for America’s Health Care Future Action, Inc.",3412,11
102413723172970,Nick Adams,Nick Adams,3410,4
168300694037224,Congressman Michael Cloud,Congressman Michael Cloud,3409,20
436792636865579,Charmaine McGuffey For Sheriff,People for McGuffey for Sheriff,3408,17
172756986111825,Capsa,"CITIZENS AGAINST PHYSICAL AND SEXUAL ABUSE, INC.",3405,19
1711390915783604,Jack Bergman,BERGMANFORCONGRESS,3404,22
2217400561854578,Kimberly Graham for US Senate - D-Iowa,KIMBERLY FOR IOWA,3401,34
101063564931606,Scott Caine For Congress,CITIZENS FOR SCOTT CAINE,3400,2
18492769291,Faithful America,Faithful America,3399,14
164637596937136,AARP Idaho,AARP,3399,38
1523403537916328,State Innovation Exchange,State Innovation Exchange (SiX),3399,41
102611921329189,Herm Suplizio for State Senate,Suplizio for Senate,3397,20
100123978196627,Bill Conrad for NYS Assembly,Friends of Bill Conrad,3396,3
812660462432261,Marci4PA - Marci Mustello for Pennsylvania,Friends of Marci Mustello,3394,14
109267407229927,ZIPO: Zero Interest Principal Only,ZIPO Inc,3393,9
237158469893,YWCA Minneapolis,YWCA Minneapolis,3390,7
103150364587807,Gun Owners Care,National Shooting Sports Foundation,3390,5
114314450118087,Darma for City Council 37,Darma V Diaz CD37,3390,3
328113362324,The Fair Housing Center,"FAIR HOUSING  OPPORTUNITIES, INC",3389,19
656011161522775,Solar Magazine,Oliver D Frazier,3387,9
215915951780663,Louisiana Chemical Association,Louisiana Chemical Association,3382,10
107531474125229,Lynne4Students,Friends of Lynne Harris,3377,28
114457410014103,New York Disability Advocates,New York Disability Advocates,3377,11
1811299719016313,Kishan for D.C.,Kishan Putta for DC Council,3376,14
