Page ID,Page Name,Disclaimer,Amount Spent (USD)
169130743498585,Tactical Pro Supply,Chad Keller,5107
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,5055
195940624693977,Country Wide Concealed,Countrywide Concealed,5025
309308412520731,Sandy Hook Promise,Sandy Hook Promise,5013
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,4919
203197030603239,8 Billion Trees,8 Billion Trees LLC,4910
15188122178,The Hamilton Collection,The Hamilton Collection,4896
102599504628933,Vote John Frey,John Frey for County Commissioner,4884
5435784683,Greenpeace USA,"GREENPEACE, INC.",4850
168051710543266,Lacy Johnson,Lacy Johnson for Congress,4826
17911165812,Covenant House International,Covenant House,4823
18479402361,No Kid Hungry,No Kid Hungry,4791
293225127381200,Patriot Depot,The Patriot Depot,4785
7483836629,Ancestry,Ancestry.com Operations Inc.,4784
107675770911111,Vote NO South Bend,Vote No South Bend,4724
113619063664338,James O'Gabhann for Indiana's 9th District,Elect O'Gabhann For Congress 2020,4627
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,4622
106094677662293,David Niezgodski for State Senate District 10,David Niezgodski for Senate District 10,4570
246323280108,American Medical Association (AMA),American Medical Association,4566
181183059253295,Dorsal Bracelets,Dorsal Bracelets,4558
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,4514
103686967733416,Micah Beckwith For Congress,BECKWITH FOR CONGRESS,4513
103844480955531,Dr. Chris Magiera for Congress,"FRIENDS OF CHRIS MAGIERA, INC.",4390
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,4294
221890358218748,Til Valhalla Project,Til Valhalla Project,4113
95356211637,Ben Ferguson,Ben Ferguson show,4104
100137754724934,Trump 2020 Supporters,Proud Right Winger,4092
24999686076,Jonathan Weinzapfel,Weinzapfel for Indiana,4078
57259033959,AARP,AARP,4012
101624321445953,Garrett Blad for State Rep,Blad for Indiana,3992
104074991111025,Last Minute Updates,Rickey Laquan Calvin,3985
139599847972,National Nurses United,National Nurses United,3955
22877548156,Earth Day Network,EARTH DAY NETWORK INC,3866
167586229923327,World Food Program USA,World Food Program USA,3853
105318696193467,Indiana AFL-CIO,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGANIZATIONS,3808
8047221596,Save the Children US,"SAVE THE CHILDREN FEDERATION, INC.",3786
134705859885321,Unilever,Unilever,3747
191817486024,60 Plus Association,60 PLUS ASSOCIATION INC,3741
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,3713
20876805343,March of Dimes,MARCH OF DIMES INC.,3671
49651563727,Live Action,Live Action,3661
6500552187,Hulu,"HULU, LLC",3629
107953199261156,ifaw,"INTERNATIONAL FUND FOR ANIMAL WELFARE, INC.",3524
383877235817031,Keep America Great,Keep America Great,3521
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",3492
106241024214152,American Home Life Periodical,Steven Luu Nguyen,3490
27544763621,Prison Fellowship,Prison Fellowship,3418
209516845093,NRDC Action Fund,NRDC Action Fund,3353
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",3321
2353537341582545,Proud Patriots,"Unicorn Wealth, LLC",3296
6231686654,Compassion International,"COMPASSION INTERNATIONAL, INCORPORATED",3280
2839948369563928,Scott Costello for US Congress NW Indiana,Scott Leonard Costello,3252
393932827634250,Dissent Pins,Common Practice,3231
30139072158,CARE,CARE,3228
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,3219
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,3216
113224530111686,Andrew Bales for Indiana,FRIENDS OF ANDREW BALES FOR CONGRESS,3213
6985452607,Brita USA,The Clorox Company,3210
949262545154447,Spataro For Judge,Spataro for Judge Committee,3134
277005566267077,Blueland,Blueland,3103
8325302025,Friends of the Earth U.S.,Friends of the Earth,3088
116924065002990,Indiana Democratic Party,INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,3087
598263833850566,Melissa Borom for Indiana,MELISSA FOR CONGRESS,3079
245284549333866,ASMDSS,ASMDSS,3076
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,3044
169130470583214,Demand Justice,Demand Justice,3023
