Page ID,Page Name,Disclaimer,Amount Spent (USD)
246323280108,American Medical Association (AMA),American Medical Association,4429
5435784683,Greenpeace USA,"GREENPEACE, INC.",4422
169294473121454,Policetees.com,PoliceTees.com,4385
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,4371
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,4322
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,4229
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,4228
23641203189,Show-Me Institute,Show-Me Institute,4141
1194865807192273,Conservative Gear,Outergoods LLC,4083
95356211637,Ben Ferguson,Ben Ferguson show,3960
293225127381200,Patriot Depot,The Patriot Depot,3956
19812849944,United Food and Commercial Workers International Union,United Food and Commercial Workers International Union,3902
181183059253295,Dorsal Bracelets,Dorsal Bracelets,3888
15188122178,The Hamilton Collection,The Hamilton Collection,3837
167586229923327,World Food Program USA,World Food Program USA,3783
107953199261156,ifaw,"INTERNATIONAL FUND FOR ANIMAL WELFARE, INC.",3764
102853601248861,ShowMe Connection,ShowMe Connection,3759
8047221596,Save the Children US,"SAVE THE CHILDREN FEDERATION, INC.",3752
116534199732974,USA Carry Online,USA Carry Online,3708
580610428636345,Fight for $15,Fight for $15,3684
57259033959,AARP,AARP,3637
105732744375701,Steve Bullock,Montanans for Bullock,3614
221890358218748,Til Valhalla Project,Til Valhalla Project,3581
6500552187,Hulu,"HULU, LLC",3577
393932827634250,Dissent Pins,Common Practice,3540
132392254931,Missouri KidsFirst,Missouri Kids First,3500
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,3451
182193211815005,Issue One,Issue One,3420
22877548156,Earth Day Network,EARTH DAY NETWORK INC,3414
536505076482383,Open Primaries,OPEN PRIMARIES INC.,3394
100137754724934,Trump 2020 Supporters,Proud Right Winger,3383
104227857783529,Ryan Derks,Derks For Congress,3340
918109708204135,Megan Ellyia Green,Megan Green for St. Louis,3316
209516845093,NRDC Action Fund,NRDC Action Fund,3246
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",3245
49651563727,Live Action,Live Action,3242
246536259126339,SEIU Healthcare Missouri Kansas,SEIU Healthcare Illinois & Indiana,3193
701314813317534,New Wentzvillian For St Charles Countians,Michael Carter,3155
1447994318779650,AirMedCare Network,AIrMedCare Network,3148
30139072158,CARE,CARE,3118
104074991111025,Last Minute Updates,Rickey Laquan Calvin,3118
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),3048
109021767293838,Making Retirement Last,Making Retirement Last,3035
134705859885321,Unilever,Unilever,3011
2258233604194161,Greg Razer for Missouri,"Razer for Missouri, Matt Dameron, Treasurer",3008
8325302025,Friends of the Earth U.S.,Friends of the Earth,3007
27544763621,Prison Fellowship,Prison Fellowship,2995
134388193343920,Elijah Haahr,"Friends Of Elijah Haahr, Trevor Crist Treasurer",2977
20876805343,March of Dimes,MARCH OF DIMES INC.,2977
438719273175922,Missouri House Democrats,House Democratic Campaign Committee,2958
277005566267077,Blueland,Blueland,2940
6231686654,Compassion International,"COMPASSION INTERNATIONAL, INCORPORATED",2911
605168822998856,314 Action,314 ACTION FUND,2896
373814729643508,Let America Vote,LET AMERICA VOTE PAC,2875
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",2872
2353537341582545,Proud Patriots,"Unicorn Wealth, LLC",2868
23875187730,Feeding America,Feeding America,2866
123904759002866,Sam Page for St. Louis County,Page for Missouri,2864
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,2797
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",2795
104851617686932,Concealed Country,Concealed Country,2739
8501031021,VoteVets.org,"VoteVets Action Fund, Inc.",2729
2283535575207809,Ditch Mitch,DITCH FUND,2728
245284549333866,ASMDSS,ASMDSS,2715
555787351119974,Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,2713
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,2710
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,2685
385473284886474,Hillsdale College,HILLSDALE COLLEGE,2672
383877235817031,Keep America Great,Keep America Great,2667
104325844436320,US Dollar Reports,US Dollar Reports,2653
102389731274006,Shield Republic Charities,Shield Republic,2634
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,2631
118502801658228,Young Kim,Young Kim for Congress,2611
172298889630363,Republican Attorneys General Association,REPUBLICAN ATTORNEYS GENERAL ASSOCIATION,2607
109477057219125,Christine Win for Clayton School Board,Christine Louise Win,2606
6985452607,Brita USA,The Clorox Company,2576
106241024214152,American Home Life Periodical,Steven Luu Nguyen,2532
15687409793,World Wildlife Fund,World Wildlife Fund,2526
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF,2480
1836138529938551,Greater Half,Greater Half,2477
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,2473
328853823844484,Balance of Power,Balance of Power,2470
108794587327155,Good Programs 2020,Trevor Dale Seaks,2421
834645469890446,Devin Nunes,DEVIN NUNES CAMPAIGN COMMITTEE,2403
169130470583214,Demand Justice,Demand Justice,2373
112942500238297,Trees4Australia,Trees4Australia,2349
586751814690068,Joni Ernst,Joni for Iowa,2348
408250066356,Bill O'Reilly,"Bill Me, Inc.",2341
316955281351,APWU - The American Postal Workers Union,AMERICAN POSTAL WORKERS UNION,2281
239149449446107,Americans For Prosperity - Missouri,AMERICANS FOR PROSPERITY,2231
2602473023098666,Democratic Polling Center,Democratic Governors Association,2224
827597877353389,Bill Eigel,"Eigel for Missouri, Thomas Huges, Treasurer",2174
1099478666810053,Meals For Pets,Meals for Pets,2173
6279167307,Easterseals,Easterseals,2161
193618220508,LIFE Today,LIFE Outreach International,2133
101383508020332,Flexhealthplan,FlexHealthPlan,2131
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,2116
802535383197546,Mary Pat Carl,Friends for Mary Pat Carl,2108
