Page ID,Page Name,Disclaimer,Amount Spent (USD)
85452072376,Newsmax,Newsmax Media,4305
107953199261156,ifaw,"INTERNATIONAL FUND FOR ANIMAL WELFARE, INC.",4286
8325302025,Friends of the Earth U.S.,Friends of the Earth,4263
169130743498585,Tactical Pro Supply,Chad Keller,4243
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,4225
277005566267077,Blueland,Blueland,4218
1706174776273096,Minnesota Conservative Energy Forum,Minnesota Conservative Energy Forum,4144
148899492344271,Pete Stauber,PETE STAUBER FOR CONGRESS,4126
1600352356914768,PushBlack,PushBlack,4104
664770743730817,Dan Feehan for Congress,FRIENDS OF DAN FEEHAN,4050
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,4047
116534199732974,USA Carry Online,USA Carry Online,4022
372748186440079,Minnesota Senate DFL Campaign,Minnesota Senate DFL Caucus,4001
95779211526,Minnesota DFL Party,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,4000
21492729544,Catholic Relief Services,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,3999
392189600337,Minnesota Nurses Association,"MINNESOTA NURSES' ASSOCIATION, THE",3948
746938465317981,Nuclear Matters,Nuclear Matters,3927
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,3902
332716170522025,America First Action,America First Action,3898
605168822998856,314 Action,314 ACTION FUND,3799
1194865807192273,Conservative Gear,Outergoods LLC,3722
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC.",3698
109784800371914,Protect Kids: Fight Flavored E-Cigarettes,TOBACCO-FREE KIDS ACTION FUND,3670
100137754724934,Trump 2020 Supporters,Proud Right Winger,3646
373814729643508,Let America Vote,LET AMERICA VOTE PAC,3637
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF,3574
213792049451918,Stand For America,Stand For America Inc,3551
120551431317,Nickelodeon,Nickelodeon with Facebook Ad Credits,3541
6500552187,Hulu,"HULU, LLC",3531
110882247130318,Our Children MN,Our Children,3521
7483836629,Ancestry,Ancestry.com Operations Inc.,3519
2283535575207809,Ditch Mitch,DITCH FUND,3491
1179947005448206,Own It Voice It,"RAI Services Company, a subsidiary of Reynolds American Inc.",3480
398986710654234,We Are MN,ROB BARRETT FOR SENATE,3442
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,3422
237158469893,YWCA Minneapolis,YWCA Minneapolis,3390
22877548156,Earth Day Network,EARTH DAY NETWORK INC,3381
1541703729424346,Alpha News,Alpha News,3310
316341622318073,Congressman Jim Hagedorn,Congressman Jim Hagedorn,3308
314499212242,Pfizer,Pfizer Inc.,3218
127335473965761,Recycle Cartons,"Carton Council of North America, Inc.",3208
169294473121454,Policetees.com,PoliceTees.com,3147
2602473023098666,Democratic Polling Center,Democratic Governors Association,3137
406581453407625,Advance Minnesota Issue Advocacy,Advance Minnesota Issue Advocacy,3133
293225127381200,Patriot Depot,The Patriot Depot,3126
103935287613121,Noel Collis for Congress,DR. NOEL COLLIS FOR CONGRESS,3106
181183059253295,Dorsal Bracelets,Dorsal Bracelets,3101
201470373308396,BMO Harris Bank,BMO Harris Bank,3095
27544763621,Prison Fellowship,Prison Fellowship,3084
2197543200459333,One Country Project,One Country Inc,3067
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,3039
1556932204325823,ProgressPop,ProgressPop,3025
23875187730,Feeding America,Feeding America,2901
328853823844484,Balance of Power,Balance of Power,2896
833845080319275,The Daily Patriot,Full Tilt Holdings LLC,2895
6231686654,Compassion International,"COMPASSION INTERNATIONAL, INCORPORATED",2866
260131294484,Bethesda Lutheran Communities,Bethesda Lutheran Communities,2855
8501031021,VoteVets.org,"VoteVets Action Fund, Inc.",2771
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,2765
681626158940626,Mission Roll Call,Americas Warrior Partnership,2751
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),2737
2284466715130264,Our Mississippi Our Future,Nature Conservancy,2731
101183127996396,Four Is Enough,PACRONYM,2730
178963078905488,Steve Simon for Secretary of State,Steve Simon for Secretary of State,2720
15188122178,The Hamilton Collection,The Hamilton Collection,2699
281844617168,Jewish Voice Ministries International,JEWISH VOICE MINISTRIES INTERNATIONAL,2657
112942500238297,Trees4Australia,Trees4Australia,2647
209516845093,NRDC Action Fund,NRDC Action Fund,2617
1099478666810053,Meals For Pets,Meals for Pets,2607
21834534343,Volunteers of America,"VOLUNTEERS OF AMERICA, INC.",2585
134705859885321,Unilever,Unilever,2570
321250352104571,Valerie Plame,VALERIE PLAME FOR CONGRESS,2569
163101747070769,Tom Emmer for Congress,Emmer for Congress,2550
106736034281444,This Place People Together,Lucy  Tran,2546
123838185676931,Quinn Nystrom for Congress,Quinn Nystrom for Congress,2537
121626482110,Operation Smile,"OPERATION SMILE, INC.",2518
159616034235,Walmart,WALMART INC.,2506
21455818797,Feed the Children,"FEED THE CHILDREN, INC.",2495
124955570892789,Bernie Sanders,BERNIE 2020,2457
95356211637,Ben Ferguson,Ben Ferguson show,2452
580817989082746,UnRestrict Minnesota,UnRestrict MN,2446
169130470583214,Demand Justice,Demand Justice,2446
15687409793,World Wildlife Fund,World Wildlife Fund,2425
57259033959,AARP,AARP,2417
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",2408
18479402361,No Kid Hungry,No Kid Hungry,2400
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,2380
7263476274,Mercy Corps,Mercy Corps,2361
118502801658228,Young Kim,Young Kim for Congress,2322
100880874670508,Mason for Minnesota,John Wesley Leonard Mason,2308
245284549333866,ASMDSS,ASMDSS,2285
210820618956311,Community Change Action,Center for Community Change Action,2270
221890358218748,Til Valhalla Project,Til Valhalla Project,2262
706716899745696,Women for Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",2261
106955620750393,Minnesota Land and Liberty Coalition,Land & Liberty Coalition,2247
1208783575937649,Congresswoman Angie Craig,Congresswoman Angie Craig,2247
118022539598510,Hometown Values,HOMETOWN VALUES PAC,2242
252375344865979,House Republican Campaign Committee,HRCC,2217
94047978366,PCCC - BoldProgressives.org,PROGRESSIVE CHANGE CAMPAIGN COMMITTEE,2209
1690071827911682,Cleancult,cleancult,2161
6985452607,Brita USA,The Clorox Company,2156
1836138529938551,Greater Half,Greater Half,2155
385473284886474,Hillsdale College,HILLSDALE COLLEGE,2134
383877235817031,Keep America Great,Keep America Great,2123
8934429638,Planned Parenthood Action,Planned Parenthood Votes,2091
555787351119974,Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,2077
20876805343,March of Dimes,MARCH OF DIMES INC.,2067
51389932587,Child Care Aware of Minnesota,Child Care aware of Minnesota,2063
15041226930,Oxfam,"OXFAM AMERICA, INC.",2056
1055873511190792,Hello Resistance,Hello Resistance Apparel,2024
2353537341582545,Proud Patriots,"Unicorn Wealth, LLC",2022
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,1986
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,1951
578123985624957,North Star Liberty Alliance,North Star Liberty Alliance,1948
410784729505143,Danny Nadeau,Danny Nadeau for Hennepin County Commissioner,1940
100256754899828,Patriot's Cave,Patriots Cave,1932
30698398385,Problem Gambling Support,RUSSELL HERDER GBC,1920
108794587327155,Good Programs 2020,Trevor Dale Seaks,1912
468906559794011,LaunchGood,LaunchGood Inc.,1883
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,1880
193618220508,LIFE Today,LIFE Outreach International,1871
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",1840
139599847972,National Nurses United,National Nurses United,1838
596556607135301,The Earthling Co.,The Earthling Co.,1835
586751814690068,Joni Ernst,Joni for Iowa,1821
109021767293838,Making Retirement Last,Making Retirement Last,1820
350316025478383,When We All Vote,When We All Vote,1813
137569740231452,Respect The Look,Respect The Look,1790
