Page ID,Page Name,Disclaimer,Amount Spent (USD)
281844617168,Jewish Voice Ministries International,JEWISH VOICE MINISTRIES INTERNATIONAL,2178
169130743498585,Tactical Pro Supply,Chad Keller,2172
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2148
104851617686932,Concealed Country,Concealed Country,2123
47710973068,Cooperative Action Network,National Rural Electric Cooperatives Association,2103
1194865807192273,Conservative Gear,Outergoods LLC,2102
17911165812,Covenant House International,Covenant House,2097
7483836629,Ancestry,Ancestry.com Operations Inc.,2075
106241024214152,American Home Life Periodical,Steven Luu Nguyen,2057
169294473121454,Policetees.com,PoliceTees.com,2025
221890358218748,Til Valhalla Project,Til Valhalla Project,1981
5435784683,Greenpeace USA,"GREENPEACE, INC.",1955
15188122178,The Hamilton Collection,The Hamilton Collection,1917
95356211637,Ben Ferguson,Ben Ferguson show,1912
56278751849,Mid-America Regional Council,MID-AMERICA REGIONAL COUNCIL,1911
293225127381200,Patriot Depot,The Patriot Depot,1904
167586229923327,World Food Program USA,World Food Program USA,1880
8047221596,Save the Children US,"SAVE THE CHILDREN FEDERATION, INC.",1868
181183059253295,Dorsal Bracelets,Dorsal Bracelets,1861
57259033959,AARP,AARP,1841
107953199261156,ifaw,"INTERNATIONAL FUND FOR ANIMAL WELFARE, INC.",1804
22877548156,Earth Day Network,EARTH DAY NETWORK INC,1797
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),1788
228364170525490,American Heart Association - Kansas,American Heart Association,1787
116534199732974,USA Carry Online,USA Carry Online,1765
110245523951311,Kansas Industry Project,"Kansas Industry Project, an initiative of American Industry Project",1762
139599847972,National Nurses United,National Nurses United,1744
393932827634250,Dissent Pins,Common Practice,1724
1838429566261495,Your Retirement Shield,Andrew Steven Riis,1723
104074991111025,Last Minute Updates,Rickey Laquan Calvin,1710
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,1707
134705859885321,Unilever,Unilever,1700
49651563727,Live Action,Live Action,1637
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,1635
1447994318779650,AirMedCare Network,AIrMedCare Network,1634
6231686654,Compassion International,"COMPASSION INTERNATIONAL, INCORPORATED",1634
100137754724934,Trump 2020 Supporters,Proud Right Winger,1623
277005566267077,Blueland,Blueland,1594
6500552187,Hulu,"HULU, LLC",1561
8325302025,Friends of the Earth U.S.,Friends of the Earth,1557
112621057029615,Stay Home Save Lives,"Stay Home, Save Lives",1551
118502801658228,Young Kim,Young Kim for Congress,1550
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,1538
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",1536
109021767293838,Making Retirement Last,Making Retirement Last,1515
