4,31,7278
5,31,4103
6,31,3386
7,31,2530
8,31,1834
1,32,435509
2,32,186296
3,32,87896
4,32,31004
5,32,21233
6,32,14191
7,32,13289
8,32,13063
10,32,425
1,33,84873
2,33,55162
3,33,18032
4,33,10614
5,33,7180
6,33,5612
7,33,4298
8,33,3194
1,34,1282623
2,34,383238
3,34,218293
4,34,95947
5,34,148598
6,34,20263
7,34,27619
8,34,43184
10,34,939
1,35,400245
2,35,345520
3,35,89276
4,35,32869
5,35,15902
6,35,24561
7,35,18046
8,35,17773
9,35,30584
10,35,1301
1,36,16590
2,36,23559
3,36,3618
4,36,1123
5,36,776
6,36,2024
7,36,1237
8,36,619
1,38,427692
2,38,410876
3,38,87255
4,38,30907
5,38,17660
6,38,26257
7,38,21496
8,38,18600
9,38,3063
1,39,91708
2,39,136938
3,39,19465
4,39,7366
5,39,4243
6,39,12318
7,39,10267
8,39,4329
1,40,277066
2,40,109611
3,40,53762
4,40,33412
5,40,26091
6,40,11463
7,40,9731
8,40,7075
1,41,580297
2,41,416535
3,41,113159
4,41,44786
5,41,27984
6,41,27613
7,41,21304
8,41,24836
9,41,31711
1,43,61636
2,43,20196
3,43,11971
4,43,5526
5,43,3663
6,43,1840
7,43,1315
8,43,1735
1,44,149664
2,44,158811
3,44,37391
4,44,12198
5,44,4703
6,44,41005
7,44,11870
8,44,7346
1,45,19640
2,45,24234
3,45,4645
4,45,1710
5,45,993
6,45,2098
7,45,1502
8,45,815
1,46,198731
2,46,227398
3,46,40315
4,46,14201
5,46,8124
6,46,19070
7,46,14598
8,46,9371
1,47,845312
2,47,855253
3,47,174512
4,47,61107
5,47,41856
6,47,88823
7,47,59897
8,47,32666
9,47,6119
1,49,105583
2,49,74745
3,49,17592
4,49,7040
5,49,5685
6,49,7222
7,49,5455
8,49,2476
1,50,48297
2,50,12282
3,50,8745
4,50,5220
5,50,4187
6,50,884
7,50,719
8,50,1142
1,52,402592
2,52,210843
3,52,86527
4,52,34369
5,52,17056
6,52,22961
7,52,15061
8,52,14053
10,52,785
1,53,118613
2,53,28881
3,53,20608
4,53,10470
5,53,9509
6,53,644
7,53,364
8,53,4443
1,54,472707
2,54,196960
3,54,94234
4,54,53773
5,54,38957
6,54,18281
7,54,15454
8,54,11664
10,54,640
1,55,39467
2,55,60925
3,55,9238
4,55,3396
5,55,1722
6,55,4218
7,55,3990
8,55,2037
1,56,215422
2,56,226683
3,56,39168
4,56,18803
5,56,12618
6,56,9456
7,56,7550
8,56,10805
9,56,1771
10,56,812
1,57,15841
2,57,24313
3,57,3327
4,57,1491
5,57,751
6,57,2311
7,57,1706
8,57,459
